INFO:2021-04-01 00:49:09.5490:ConnectionTest.Program.Main:Testing Connection
DEBUG:2021-04-01 00:49:10.1354:ConnectionTest.Program.Main(Program.cs:16):Connected
DEBUG:2021-04-01 00:49:10.1500:ConnectionTest.Program.Main(Program.cs:18):Question 1:
DEBUG:2021-04-01 00:49:12.9759:ConnectionTest.Program.Main(Program.cs:18):Flight: 728486c, Row: 1, Alt: 15499.857142857143
DEBUG:2021-04-01 00:49:12.9927:ConnectionTest.Program.Main(Program.cs:18):Flight: 7284a2b, Row: 1, Alt: 5016.194444444444
DEBUG:2021-04-01 00:49:12.9927:ConnectionTest.Program.Main(Program.cs:18):Flight: 7287640, Row: 1, Alt: 4008.177570093458
DEBUG:2021-04-01 00:49:13.0088:ConnectionTest.Program.Main(Program.cs:18):Flight: 7287aad, Row: 1, Alt: 3737.205882352941
DEBUG:2021-04-01 00:49:13.0232:ConnectionTest.Program.Main(Program.cs:18):Flight: 7287bd8, Row: 1, Alt: 16600
DEBUG:2021-04-01 00:49:13.0232:ConnectionTest.Program.Main(Program.cs:18):Flight: 7288281, Row: 1, Alt: 7185.743859649123
DEBUG:2021-04-01 00:49:13.0387:ConnectionTest.Program.Main(Program.cs:18):Flight: 728862e, Row: 1, Alt: 16227.272727272728
DEBUG:2021-04-01 00:49:13.0387:ConnectionTest.Program.Main(Program.cs:18):Flight: 72892fa, Row: 1, Alt: 12730.964912280702
DEBUG:2021-04-01 00:49:13.0538:ConnectionTest.Program.Main(Program.cs:18):Flight: 7289352, Row: 1, Alt: 8878.32075471698
DEBUG:2021-04-01 00:49:13.0538:ConnectionTest.Program.Main(Program.cs:18):Flight: 7289902, Row: 1, Alt: 20793.75
DEBUG:2021-04-01 00:49:13.0686:ConnectionTest.Program.Main(Program.cs:18):Flight: 7289f9b, Row: 1, Alt: 3190.8928571428573
DEBUG:2021-04-01 00:49:13.0686:ConnectionTest.Program.Main(Program.cs:18):Flight: 728afce, Row: 1, Alt: 5069.894736842105
DEBUG:2021-04-01 00:49:13.0838:ConnectionTest.Program.Main(Program.cs:18):Flight: 728bad6, Row: 1, Alt: 853.5714285714286
DEBUG:2021-04-01 00:49:13.0838:ConnectionTest.Program.Main(Program.cs:18):Flight: 728c840, Row: 1, Alt: 3204.409282700422
DEBUG:2021-04-01 00:49:13.0936:ConnectionTest.Program.Main(Program.cs:18):Flight: 728cb97, Row: 1, Alt: 12677.666666666666
DEBUG:2021-04-01 00:49:13.0936:ConnectionTest.Program.Main(Program.cs:18):Flight: 728da61, Row: 1, Alt: 4183.9047619047615
